id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;last_review
18666;Flat with Sunny Terrace;71615;Mireia And Maria;el Camp de l'Arpa del Clot;Entire home/apt;130;3;10/10/2015
18674;Huge flat for 8 people close to Sagrada Familia;71615;Mireia And Maria;la Sagrada Família;Entire home/apt;60;1;18/06/2018
21605;Nice and sunny duble room;82522;Meritxell;el Poblenou;Private room;33;2;29/10/2018
25786;NICE ROOM AVAILABLE IN THE HEART OF GRACIA;108310;Pedro;la Vila de Gràcia;Private room;31;1 night;02/11/2018
31377;Room for 2,  Sagrada Famili;134698;Svetlana;el Baix Guinardó;Private room;42;3;12/03/2018
31380;Room for 2-3. Barcelona, Sagrada Famili;134698;Svetlana;el Baix Guinardó;Private room;53;3;04/04/2018
31823;Aribau, Friendly Rentals;136853;Fidelio;l'Antiga Esquerra de l'Eixample;Entire home/apt;70;1;28/10/2018
31958;Gaudi Attic 1, Friendly Rentals;136853;Fidelio;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;65;1;01/10/2018
32471;Gaudi Attic 2, Friendly Rentals;136853;Fidelio;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;90;1;04/08/2018
32711;Sagrada Familia area - Còrsega 1;135703;Nick;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;140;2;27/10/2018
32868;Sant Joan 4, Friendly Rentals;136853;Fidelio;la Dreta de l'Eixample;Entire home/apt;100;1;18/09/2018
34981;VIDRE HOME PLAZA REAL on LAS RAMBLAS;73163;Andres;el Barri Gòtic;Entire home/apt;500€;4;30/10/2018
35379;Double 02 CasanovaRooms Barcelona;152232;Pablo;l'Antiga Esquerra de l'Eixample;Private room;40;2;26/10/2018
35388;Single 01 CasanovaRooms Barcelona;152232;Pablo;l'Antiga Esquerra de l'Eixample;Private room;30;2;04/11/2018
35390;Single 02 CasanovaRooms Barcelona;152232;Pablo;l'Antiga Esquerra de l'Eixample;Private room;30;2;03/11/2018
35392;Double 01 CasanovaRooms Barcelona;152232;Pablo;l'Antiga Esquerra de l'Eixample;Private room;45;2;27/10/2018
36763;In front of the beach;158596;Ester;la Barceloneta;Private room;29;2;30/09/2018
40983;Classical loft close to pedrera!;177617;Joaquin;la Dreta de l'Eixample;Entire home/apt;95;3;11/10/2018
46153;CHIC BORN, APARTMENT, GREAT LOCATION , FREE WIFI;90417;Etain;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;43;180;30/09/2018
49213;Descalzos en el parque, relaxing and  cool room;208154;Cate;el Poble Sec;Private room;35;3;01/10/2018
49968;Sagrada Familia area - Còrsega 2;135703;Nick;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;140;2;07/10/2018
50066;Sagrada Familia area - Sardenya 1;135703;Nick;el Fort Pienc;Entire home/apt;180;2;22/08/2018
58512;Stylish & cozy 3bed near Sagrada Familia;280070;Cristina;el Camp de l'Arpa del Clot;Entire home/apt;79;2;12/10/2018
61444;Bright apartment - Rambla Catalunya (HUTB-005863);297545;Anil;la Dreta de l'Eixample;Entire home/apt;105;2;26/10/2018
66037;Great apartment in  en el Born;323105;Amivelaz;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;150;3;21/10/2018
67065;Londres, Friendly Rentals;136853;Fidelio;l'Antiga Esquerra de l'Eixample;Entire home/apt;85;1;08/10/2018
68547;two beds with private shower 30% off;340570;Atún;el Barri Gòtic;Private room;47;2;12/10/2018
70099;Room with a View, Bcn City Center;353987;Alex;el Raval;Private room;44;1;05/11/2018
70333;Stylish+cozy home/parking/CCIB/WIFI;266650;Vanessa;Diagonal Mar i el Front Marítim del Poblenou;Entire home/apt;90;32;04/03/2018
71520;Charming apartment with fantastic views!;366428;Ariadna;Vallcarca i els Penitents;Entire home/apt;250;7;23/06/2011
71553;Black Friday PROMOTIONS, apt with terrace!;366654;Arian Watermelon Barcelona!;el Fort Pienc;Entire home/apt;110;2;19/08/2018
71603;MODERNIST PENTHOUSE. 1bedroom apt with terrace;366654;Arian Watermelon Barcelona!;la Dreta de l'Eixample;Entire home/apt;390;2;16/06/2018
72436;Lugaris Beach Business Apartment;375625;Xavier;el Poblenou;Entire home/apt;1000;3;04/11/2018
73455;RAMBLAS ORCHID2 FAMILY APARTMENT;383697;Anna;el Raval;Entire home/apt;148;2;21/10/2018
73643;Salva B1 - VivoBarcelona Apts.;385249;Joel;el Poble Sec;Entire home/apt;189;3;12/09/2018
73649;PB1 - great terrace and little pool;385249;Joel;Hostafrancs;Entire home/apt;170;3;26/08/2018
73683;Sagrada Familia area for 12 people;135703;Nick;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;300;2;26/08/2018
73692;Rustic apartment : Rambla Catalunya (HUTB-005863);297545;Anil;la Dreta de l'Eixample;Entire home/apt;105;2;12/10/2018
73700;Centrally located budget apartment (HUTB-005832);297545;Anil;el Poble Sec;Entire home/apt;65;2;04/11/2018
74562;Cute Suite near the MACBA;382031;Lisette;el Raval;Private room;60;3;04/10/2018
75003;Holy Family Apartment H41;396363;Oscar And Diego;la Sagrada Família;Entire home/apt;113;2;28/03/2018
75411;Sagrada Familia Clot Patio;400154;Mireia;el Clot;Entire home/apt;125;3;30/10/2018
80004;Parc Montjuic HUTB (Phone number hidden by Airbnb);431839;Xavier;el Poble Sec;Entire home/apt;107;4;23/10/2018
81291;Sunny attic with pool and terrace near the beach!;95585;Daniela;el Poblenou;Entire home/apt;139;3;16/10/2018
83283;Ã¢Ëœâ€¦PLAZA Ã‚Â©ATALUÑ˜A Ã‚Â®oom x2 + private bathÃ‚Â®oom+wifi;700165;Wonderful Barcelona;Sant Antoni;Private room;48;2;10/09/2018
89756;BCN-RENTALS RAMBLA 1, just 7-10 min to Ramblas;488117;David Y Maria;el Raval;Entire home/apt;350;6;31/08/2018
89776;Modernist flat Downtown Casa Estapé | Barcelona;488151;Pols;el Fort Pienc;Entire home/apt;65;3;27/10/2018
92425;PLAZA CATALUNYA CENTRAL TWO BEDROOM APARTMENT;497450;Francesc;el Raval;Entire home/apt;43;60;18/10/2017
95560;La Sagrada Familia (and metro) 4 blocks!;494228;Julián;el Camp d'en Grassot i Gràcia Nova;Private room;15;2;27/10/2018
95719;Lovely room to rent in El Gotico;509260;Dalila;Sant Pere, Santa Caterina i la Ribera;Private room;53;2;22/10/2018
97529;CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT;497450;Francesc;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;40;60;05/11/2016
